,Unnamed: 0,BFP_SEAL_WATER_FLOW,BFP_SUCT_HDR_PRESS________,AUX_CDSR_2B_PRESS_________,BFP_SUCTION_HDR_TEMP______,BFPT_B_VALVE_DEMAND_HP_STO,BFPT_B_VALVE_DEMAND_LP_STO,BFPT_B_CALC_VALVE_DEMAND__,2B_TDBFP_RECIRC_VLV_DMD___,BFP_2B_DISCHARGE_FLOW_____,BFP_2B_IBRD_SEAL_INJ_FLOW_,BFP_2B_OBRD_SEAL_INJ_FLOW_,2B_TDBFP_DISCHARGE_FLOW___,BFP_2B_BAL_DRUM_FLOW______,2B_TDBFP_RECIRC_VLV_POS___,BFP_DSCH_HDR_PRESS________,BFP_2B_LUBE_OIL_PRESS_____,BFPT_2B_FIRST_STAGE_PRESS_,2B_TDBFP_RECIRC_FLOW______,BFPT_B_LP_SPEED_INPUT__1__,BFPT_B_LP_SPEED_INPUT__2__,BFP_DISCHARGE_HEADER_TEMP_,BFP_2B_THRUST_BRG_TEMP____,BFP_2B_IN_BRG_TEMP________,BFP_2B_OUT_BRG_TEMP_______,BFPT_2B_BRG_1_DRAIN_TEMP__,BFPT_2B_BRG_2_DRAIN_TEMP__,BFPT_2B_THRUST_BRG_DRAIN__,BFP_2B_BARREL_TOP_IBRD_TEM,BFP_2B_BARREL_BOT_IBRD_TEM,BFP_2B_BARREL_TOP_OBRD_TEM,BFP_2B_BARREL_BOT_OBRD_TEM,BFPT_2B_IN_BRG_MTL_TEMP___,BFP_2B_IBRD_SEAL_INJ_DRN_T,BFP_2B_OBRD_SEAL_INJ_DRN_T,2B_BFPT_ROTOR_VIB_OBRG____,2B_BFPT_ROTOR_VIB_IBRB____,BFPT_2B_RAD_SHAFT_VIB_OB_B,BFPT_2B_RAD_SHAFT_VIB_IB_B,BFP_2B_AXIAL_SHAFT_VIB____,BFPT_2B_THRUST_BRG_WEAR___,BFP_2B_RAD_SHAFT_VIB_OB_BR,BFP_2B_RAD_SHAFT_VIB_IB_BR,BFPT_2B_AXIAL_SHAFT_VIB___,MAIN_STEAM_FLOW_TO_BFPS___,EXT_STM_FLOW_TO_BFP_2B____,CW_FRM_AUX_CDSR_2B________,CW_TO_AUX_CDS_2B
6361,5/23/98 2:05,38.51,86.99,5.39,277.09,30.01,30.01,49.94,99.98,0.0,10.07,,-0.02,23.58,100.12,2217.85,26.47,20.95,247.95,4393.84,4388.48,277.47,144.3,99.69,100.26,111.73,103.55,117.02,245.37,190.66,210.94,193.35,139.47,150.87,150.7,0.87,2.68,1.1,3.19,1.58,-5.69,0.66,0.66,0.37,7.51,30.55,105.83,82.39
6362,5/23/98 2:10,38.32,86.54,5.62,277.79,30.01,30.01,50.11,99.98,0.0,,,-0.02,23.29,100.12,2274.01,26.08,21.45,252.66,4449.9,4431.73,275.49,146.64,104.04,105.35,116.77,110.07,122.09,246.12,196.65,212.55,194.72,142.27,168.64,161.88,0.95,2.64,1.34,3.26,1.59,-5.54,0.67,0.6,0.37,7.51,28.37,107.9,82.39
6363,5/23/98 2:15,38.12,86.09,5.72,278.49,30.01,30.01,51.84,99.98,82.89,,,104.29,22.82,98.66,2330.16,25.69,24.1,256.48,4681.88,4634.12,273.51,148.98,108.39,109.59,121.8,113.4,127.15,246.88,204.66,214.17,196.09,140.95,167.18,165.69,1.03,2.59,1.58,3.32,1.61,-5.38,0.5,0.54,0.38,7.51,22.13,109.97,82.38
6364,5/23/98 2:20,37.93,86.32,5.81,279.19,30.01,30.01,57.64,0.0,1016.78,8.18,,1028.77,23.9,95.75,2361.96,25.62,29.76,253.78,4888.13,4868.92,272.03,130.01,111.1,111.13,125.35,116.74,130.43,247.64,212.68,215.78,197.46,139.37,165.71,165.69,1.1,2.57,1.68,3.32,1.62,-5.22,0.45,0.53,0.38,7.51,5.02,111.13,82.38
7480,5/26/98 23:20,55.46,126.71,3.01,323.35,30.01,30.01,22.15,2.41,1561.39,,5.74,1546.55,26.25,3.94,2620.37,26.79,19.62,1.28,4937.29,4944.35,317.64,160.16,120.83,119.05,138.56,129.97,134.63,274.36,263.15,282.19,265.24,155.99,173.39,160.18,0.81,2.36,0.91,3.06,3.05,2.49,1.53,1.46,0.35,0.0,32.71,92.78,83.22
7481,5/26/98 23:25,56.31,126.25,2.79,322.4,30.01,30.01,12.48,2.44,1421.31,,8.79,1406.35,34.75,4.0,2587.76,26.87,7.01,17.04,4877.94,4878.13,322.66,169.03,120.2,119.0,137.97,129.18,132.24,283.72,262.22,282.13,264.96,155.56,180.1,164.79,0.81,2.38,0.91,3.03,1.84,1.88,1.92,1.65,0.35,0.0,18.04,91.49,83.22
7482,5/26/98 23:30,57.15,138.88,2.58,321.45,30.01,30.01,11.35,2.47,1427.35,,8.26,1414.06,34.17,4.05,2628.88,26.95,6.22,21.67,4768.0,4768.5,322.71,168.42,119.56,118.95,136.83,128.39,129.86,293.54,261.67,282.06,264.69,155.14,173.52,173.02,0.81,2.4,0.92,3.0,1.84,0.64,1.84,1.99,0.36,0.0,12.29,90.21,83.22
7483,5/26/98 23:35,57.99,138.73,2.36,320.5,30.01,30.01,10.22,2.5,1433.39,,8.57,1421.77,32.91,4.11,2629.5,27.03,5.42,3.19,4658.05,4658.86,322.75,170.04,118.92,118.9,134.53,127.6,127.47,299.07,261.23,281.99,264.41,154.72,170.47,162.73,0.81,2.42,0.92,2.97,1.95,-0.6,1.94,2.16,0.37,0.0,8.09,88.93,83.21
7526,5/27/98 3:10,56.05,122.76,2.4,320.23,30.01,30.01,23.88,96.37,12.54,,7.76,-0.02,23.86,99.03,2645.81,27.65,18.13,255.96,4602.39,4609.8,324.78,153.47,99.4,99.54,112.67,103.02,116.44,279.12,246.24,271.67,258.01,143.17,164.43,158.56,0.72,2.19,0.73,2.8,1.57,1.47,1.0,1.05,0.46,0.0,31.78,89.97,83.06
7527,5/27/98 3:15,54.1,122.44,3.5,320.33,30.01,30.01,48.19,96.29,748.87,,,853.53,24.91,99.0,2645.95,27.15,41.32,275.29,5152.67,5159.91,324.83,136.72,105.24,107.04,124.2,111.6,128.42,278.24,247.84,271.43,258.18,145.38,169.6,159.98,0.73,2.19,0.71,3.03,1.71,4.89,0.76,0.87,0.46,0.0,59.67,96.13,83.05
